period,dim,value,count,baseline_median,magnitude,kind,answered_pct,unanswered,median_first_answer_h,question_ids,example_urls,example_titles
2026-01-15,os,os:windows,16,4.5,3.56,above-baseline,88,2,9.6,1560263 1560289 1560293 1560305 1560324 1560338 1560359 1560371 1560376 1560380 1560385 1560389 1560409 1560414 1560423 1560434,https://support.mozilla.org/questions/1560263 https://support.mozilla.org/questions/1560289 https://support.mozilla.org/questions/1560293 https://support.mozilla.org/questions/1560305 https://support.mozilla.org/questions/1560324 https://support.mozilla.org/questions/1560338 https://support.mozilla.org/questions/1560359 https://support.mozilla.org/questions/1560371 https://support.mozilla.org/questions/1560376 https://support.mozilla.org/questions/1560380 https://support.mozilla.org/questions/1560385 https://support.mozilla.org/questions/1560389 https://support.mozilla.org/questions/1560409 https://support.mozilla.org/questions/1560414 https://support.mozilla.org/questions/1560423 https://support.mozilla.org/questions/1560434,"Setting everything comptely on a different drive, including  | Thunderbird does not display new emails | Thunderbird calendar | Nezobrazují se příchozí emaily | wijzigen afspraak in agenda mislukt"
2026-01-14,os,os:windows,11,3.5,3.14,above-baseline,91,1,3.3,1560081 1560106 1560124 1560135 1560143 1560147 1560175 1560186 1560219 1560249 1560251,https://support.mozilla.org/questions/1560081 https://support.mozilla.org/questions/1560106 https://support.mozilla.org/questions/1560124 https://support.mozilla.org/questions/1560135 https://support.mozilla.org/questions/1560143 https://support.mozilla.org/questions/1560147 https://support.mozilla.org/questions/1560175 https://support.mozilla.org/questions/1560186 https://support.mozilla.org/questions/1560219 https://support.mozilla.org/questions/1560249 https://support.mozilla.org/questions/1560251,Sub-Folder Names Started Being Incorrect | outgoing message is rejected as server has determined it is  | Thunderbird message header pane | Can't change incorrect Gmail password | nezobrazování zpráv
2026-01-13,os,os:windows,14,3.5,4.0,above-baseline,86,2,1.0,1559956 1559964 1560000 1560011 1560023 1560028 1560030 1560031 1560061 1560065 1560067 1560069 1560071 1560079,https://support.mozilla.org/questions/1559956 https://support.mozilla.org/questions/1559964 https://support.mozilla.org/questions/1560000 https://support.mozilla.org/questions/1560011 https://support.mozilla.org/questions/1560023 https://support.mozilla.org/questions/1560028 https://support.mozilla.org/questions/1560030 https://support.mozilla.org/questions/1560031 https://support.mozilla.org/questions/1560061 https://support.mozilla.org/questions/1560065 https://support.mozilla.org/questions/1560067 https://support.mozilla.org/questions/1560069 https://support.mozilla.org/questions/1560071 https://support.mozilla.org/questions/1560079,Failed to send email  -  Echec envoie mail | importazione rubriche | Thunderbird | FATAL FLAW | How to remove thunderbird connection from another PC?
2026-01-12,os,os:windows,12,3.5,3.43,above-baseline,92,1,2.0,1559735 1559784 1559811 1559815 1559820 1559822 1559826 1559828 1559844 1559845 1559859 1559869,https://support.mozilla.org/questions/1559735 https://support.mozilla.org/questions/1559784 https://support.mozilla.org/questions/1559811 https://support.mozilla.org/questions/1559815 https://support.mozilla.org/questions/1559820 https://support.mozilla.org/questions/1559822 https://support.mozilla.org/questions/1559826 https://support.mozilla.org/questions/1559828 https://support.mozilla.org/questions/1559844 https://support.mozilla.org/questions/1559845 https://support.mozilla.org/questions/1559859 https://support.mozilla.org/questions/1559869,"Thunderbird istallation | Thunderbird  Lingua Cartelle account | Názvy složek emailu v Thuderbird v angličtině. | Setting up busy colors in the ""Invite Participants"" form | Allegato modificato e non salvato"
2026-01-11,os,os:windows,17,3.0,5.67,above-baseline,82,3,4.8,1559586 1559598 1559632 1559634 1559640 1559644 1559659 1559660 1559668 1559672 1559673 1559682 1559684 1559685 1559694 1559704 1559727,https://support.mozilla.org/questions/1559586 https://support.mozilla.org/questions/1559598 https://support.mozilla.org/questions/1559632 https://support.mozilla.org/questions/1559634 https://support.mozilla.org/questions/1559640 https://support.mozilla.org/questions/1559644 https://support.mozilla.org/questions/1559659 https://support.mozilla.org/questions/1559660 https://support.mozilla.org/questions/1559668 https://support.mozilla.org/questions/1559672 https://support.mozilla.org/questions/1559673 https://support.mozilla.org/questions/1559682 https://support.mozilla.org/questions/1559684 https://support.mozilla.org/questions/1559685 https://support.mozilla.org/questions/1559694 https://support.mozilla.org/questions/1559704 https://support.mozilla.org/questions/1559727,Problem moving messages from one folder to another - possibl | quicktest | Tools not working | Microsoft outlook oauth fails | Archiving on my local computer
2026-01-10,os,os:windows,11,3.0,3.67,above-baseline,82,2,5.5,1559431 1559452 1559482 1559491 1559505 1559509 1559515 1559518 1559550 1559556 1559579,https://support.mozilla.org/questions/1559431 https://support.mozilla.org/questions/1559452 https://support.mozilla.org/questions/1559482 https://support.mozilla.org/questions/1559491 https://support.mozilla.org/questions/1559505 https://support.mozilla.org/questions/1559509 https://support.mozilla.org/questions/1559515 https://support.mozilla.org/questions/1559518 https://support.mozilla.org/questions/1559550 https://support.mozilla.org/questions/1559556 https://support.mozilla.org/questions/1559579,"When email is marked ""Thunderbird thinks this message is spa | ""Unable to write the email to the mailbox...."" | non si apre la cartella posta in arrivo | The folders Gesendet, Entwürfe, Junk, Papierkorb have been c | Certificato Thunderbird non attendibile."
2026-01-09,os,os:windows,25,3.0,8.33,above-baseline,96,1,3.3,1559239 1559242 1559276 1559294 1559298 1559301 1559305 1559308 1559311 1559319 1559326 1559332 1559342 1559361 1559362 1559372 1559379 1559382 1559389 1559393 1559394 1559403 1559408 1559420 1559423,https://support.mozilla.org/questions/1559239 https://support.mozilla.org/questions/1559242 https://support.mozilla.org/questions/1559276 https://support.mozilla.org/questions/1559294 https://support.mozilla.org/questions/1559298 https://support.mozilla.org/questions/1559301 https://support.mozilla.org/questions/1559305 https://support.mozilla.org/questions/1559308 https://support.mozilla.org/questions/1559311 https://support.mozilla.org/questions/1559319 https://support.mozilla.org/questions/1559326 https://support.mozilla.org/questions/1559332 https://support.mozilla.org/questions/1559342 https://support.mozilla.org/questions/1559361 https://support.mozilla.org/questions/1559362 https://support.mozilla.org/questions/1559372 https://support.mozilla.org/questions/1559379 https://support.mozilla.org/questions/1559382 https://support.mozilla.org/questions/1559389 https://support.mozilla.org/questions/1559393 https://support.mozilla.org/questions/1559394 https://support.mozilla.org/questions/1559403 https://support.mozilla.org/questions/1559408 https://support.mozilla.org/questions/1559420 https://support.mozilla.org/questions/1559423,"Thunderbird refuses coloured text on Lenovo Idealpad and add | Thunderbird update went wrong, now can not open or find it | Lost emails from the Local Folders | Při odstranění jedné emailové schránky došlo k odstranění sl | Need to restore deleted emails for law issues"
2026-01-08,os,os:windows,17,3.0,5.67,above-baseline,88,2,4.1,1559071 1559074 1559082 1559092 1559104 1559110 1559114 1559126 1559135 1559153 1559163 1559174 1559175 1559191 1559209 1559213 1559221,https://support.mozilla.org/questions/1559071 https://support.mozilla.org/questions/1559074 https://support.mozilla.org/questions/1559082 https://support.mozilla.org/questions/1559092 https://support.mozilla.org/questions/1559104 https://support.mozilla.org/questions/1559110 https://support.mozilla.org/questions/1559114 https://support.mozilla.org/questions/1559126 https://support.mozilla.org/questions/1559135 https://support.mozilla.org/questions/1559153 https://support.mozilla.org/questions/1559163 https://support.mozilla.org/questions/1559174 https://support.mozilla.org/questions/1559175 https://support.mozilla.org/questions/1559191 https://support.mozilla.org/questions/1559209 https://support.mozilla.org/questions/1559213 https://support.mozilla.org/questions/1559221,How do i reverse date order | contacted recipients emails on new message panel | How do I email an add-on developer - windows 11 | can not add  xfinity passwor after changing it to Thunderbir | Errore durante la ricezione della posta POP3
2026-01-07,os,os:windows,9,3.0,3.0,above-baseline,100,0,12.6,1558949 1558951 1558960 1558970 1558983 1558998 1559006 1559024 1559047,https://support.mozilla.org/questions/1558949 https://support.mozilla.org/questions/1558951 https://support.mozilla.org/questions/1558960 https://support.mozilla.org/questions/1558970 https://support.mozilla.org/questions/1558983 https://support.mozilla.org/questions/1558998 https://support.mozilla.org/questions/1559006 https://support.mozilla.org/questions/1559024 https://support.mozilla.org/questions/1559047,App Icon Showing new messages | Solved | impossible to send a message with thunderbird | TB 146.0.1 Keeps reverting to Manual Spam Sorting | Gelöschtes Thunderbird konto wiederherstellen
2026-01-06,os,os:windows,15,3.0,5.0,above-baseline,87,2,3.3,1558716 1558730 1558743 1558745 1558775 1558777 1558779 1558780 1558811 1558812 1558823 1558838 1558852 1558856 1558861,https://support.mozilla.org/questions/1558716 https://support.mozilla.org/questions/1558730 https://support.mozilla.org/questions/1558743 https://support.mozilla.org/questions/1558745 https://support.mozilla.org/questions/1558775 https://support.mozilla.org/questions/1558777 https://support.mozilla.org/questions/1558779 https://support.mozilla.org/questions/1558780 https://support.mozilla.org/questions/1558811 https://support.mozilla.org/questions/1558812 https://support.mozilla.org/questions/1558823 https://support.mozilla.org/questions/1558838 https://support.mozilla.org/questions/1558852 https://support.mozilla.org/questions/1558856 https://support.mozilla.org/questions/1558861,"INSTALLING THUNDERBIRD EMAIL ON NEW LAPTOP | mijn e-mailadres beheren van mij persoonlijk | Thunderbird is stating that there are no new emails on my gm | Pictures not displaying | Warum kann ich einen leeren Unterordner nicht löschen, obwoh"
