id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1590533,2026-07-01T03:48:51.009578Z,2026-07-01T16:05:51.148597Z,en-US,thunderbird-android,How to install  inbox in my Samsung 13 phone?,False,,,False,1829488.0,1829488;,email-and-messaging,windows-10;email-and-messaging;thunderbird-android;thunderbird-14012;thunderbird-140121;,phs1,<p>I don't have an inbox in my my email on my phone. On my lap top I don't have a spam or junk category. What is  the Local Folder for? It has a Junk category. </p>,phs1;platform34;,False,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:140.12.1esr;os:Windows 10",1,1,1,,,,Windows 10,140.12.1esr
1590623,2026-07-01T15:42:39.812609Z,2026-07-01T16:20:56.998754Z,en-US,thunderbird-android,Install dows not prompt for login. Errors on IP address,False,,,False,1829490.0,1829490;,passwords-and-sign-in,android;passwords-and-sign-in;thunderbird-android;thunderbird-170;,mpompian,"<p>I have installed the Thunderbird Mobile ap and I am being prompted for a login but there is no option. My only option is ""later"". </p>",mpompian;platform34;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36;tb_version:17.0;os:Android;kb_visits_prior:[""/en-US/kb/getting-started-thunderbird-android""]",1,0,0,,,,Android,17.0
1590643,2026-07-01T17:24:29.879303Z,2026-07-01T17:24:29.879311Z,en-US,thunderbird-android,Mobile lock screen password remove,False,,,True,,,passwords-and-sign-in,passwords-and-sign-in;thunderbird-android;,kalaprkashdpi,<p>Yeses </p>,kalaprkashdpi;,False,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36;tb_version:Yse;os:Y;kb_visits_prior:[""/en-US/kb/gmail-thunderbird-android""]",0,0,0,,,,Y,Yse
