id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by
1573956,2026-04-01 03:55:38 -0700,2026-04-01 03:55:38 -0700,en-US,thunderbird-android,Calender function for Thunderbird app on Android,False,,,False,,,calendar,android;thunderbird-android;calendar;,O.Schneider13,"<p>Hallo everybody, I replaced my outlook app with Thunderbird and happy with the e-mail function. But I'm desperatly looking for a calender integration. Is there a funtionality I didn't see or do I need to use an add-in? I couldn't find something in the forum yet. Kind regards Oliver </p>",O.Schneider13;,False,False,False,;useragent:Mozilla/5.0 (Android 16; Mobile; rv:149.0) Gecko/149.0 Firefox/149.0;os:Android,0,0,0,,,
1573973,2026-04-01 07:17:57 -0700,2026-04-01 07:17:57 -0700,en-US,thunderbird-android,Devices,False,,,True,,,privacy-and-security,android;thunderbird-android;privacy-and-security_1;,benfieldjonathan841,<p>Unlink and remove any connect devices are connected to me </p>,benfieldjonathan841;,False,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36;os:Android",0,0,0,,,
